county_code,county_name,success,records_scraped,pages_processed,duration_seconds,data_quality_score,start_time,end_time,error_message,data_file_path
17,Coffee,False,0,0,11.351763,0.0,2025-09-25T18:10:58.741580,2025-09-25T18:11:10.093343,,
18,Colbert,False,0,0,11.675141,0.0,2025-09-25T18:10:58.741876,2025-09-25T18:11:10.417017,,
19,Conecuh,True,5,0,19.294469,25.0,2025-09-25T18:10:58.742133,2025-09-25T18:11:18.036602,,data/raw/scraped_conecuh_county_20250925_181058.csv
22,Crenshaw,False,0,0,11.957852,0.0,2025-09-25T18:11:18.038871,2025-09-25T18:11:29.996723,,
21,Covington,True,5,0,19.836569,25.0,2025-09-25T18:11:10.418186,2025-09-25T18:11:30.254755,,data/raw/scraped_covington_county_20250925_181110.csv
20,Coosa,True,15,0,32.04687,29.0,2025-09-25T18:11:10.097533,2025-09-25T18:11:42.144403,,data/raw/scraped_coosa_county_20250925_181110.csv
24,Dale,False,0,0,12.124325,0.0,2025-09-25T18:11:30.257079,2025-09-25T18:11:42.381404,,
23,Cullman,True,8,0,23.691596,25.0,2025-09-25T18:11:29.997738,2025-09-25T18:11:53.689334,,data/raw/scraped_cullman_county_20250925_181129.csv
25,Dallas,False,0,0,12.599175,0.0,2025-09-25T18:11:42.146274,2025-09-25T18:11:54.745449,,
26,DeKalb,True,9,0,24.603678,25.0,2025-09-25T18:11:42.382856,2025-09-25T18:12:06.986534,,data/raw/scraped_dekalb_county_20250925_181142.csv
29,Etowah,False,0,0,11.213945,0.0,2025-09-25T18:12:06.988867,2025-09-25T18:12:18.202812,,
28,Escambia,True,10,0,24.700805,29.0,2025-09-25T18:11:54.746781,2025-09-25T18:12:19.447586,,data/raw/scraped_escambia_county_20250925_181154.csv
30,Fayette,True,5,0,19.829126,25.0,2025-09-25T18:12:18.203959,2025-09-25T18:12:38.033085,,data/raw/scraped_fayette_county_20250925_181218.csv
32,Geneva,False,0,0,11.972268,0.0,2025-09-25T18:12:38.035645,2025-09-25T18:12:50.007913,,
27,Elmore,True,67,0,95.131542,32.0,2025-09-25T18:11:53.691543,2025-09-25T18:13:28.823085,,data/raw/scraped_elmore_county_20250925_181153.csv
31,Franklin,True,671,0,826.481934,34.8746782278824,2025-09-25T18:12:19.450017,2025-09-25T18:26:05.931951,,data/raw/scraped_franklin_county_20250925_181219.csv
